"","year","age","value","groups","Age","Year"
"1",1998,2,0,"obs","2","1998"
"2",1998,3,0,"obs","3","1998"
"3",1998,4,0,"obs","4","1998"
"4",1998,5,0,"obs","5","1998"
"5",1998,6,0.00401606,"obs","6","1998"
"6",1998,7,0.0060241,"obs","7","1998"
"7",1998,8,0.0341365,"obs","8","1998"
"8",1998,9,0.0220884,"obs","9","1998"
"9",1998,10,0.0321285,"obs","10","1998"
"10",1998,11,0.0582329,"obs","11","1998"
"11",1998,12,0.0702811,"obs","12","1998"
"12",1998,13,0.0943775,"obs","13","1998"
"13",1998,14,0.0943775,"obs","14","1998"
"14",1998,15,0.0682731,"obs","15","1998"
"15",1998,16,0.0783133,"obs","16","1998"
"16",1998,17,0.0341365,"obs","17","1998"
"17",1998,18,0.0341365,"obs","18","1998"
"18",1998,19,0.0220884,"obs","19","1998"
"19",1998,20,0.0261044,"obs","20","1998"
"20",1998,21,0.0441767,"obs","21","1998"
"21",1998,22,0.0502008,"obs","22","1998"
"22",1998,23,0.0361446,"obs","23","1998"
"23",1998,24,0.0301205,"obs","24","1998"
"24",1998,25,0.0220884,"obs","25","1998"
"25",1998,26,0.0240964,"obs","26","1998"
"26",1998,27,0.0120482,"obs","27","1998"
"27",1998,28,0.0100402,"obs","28","1998"
"28",1998,29,0.0261044,"obs","29","1998"
"29",1998,30,0.0200803,"obs","30","1998"
"30",1998,31,0.0060241,"obs","31","1998"
"31",1998,32,0.0100402,"obs","32","1998"
"32",1998,33,0.0120482,"obs","33","1998"
"33",1998,34,0,"obs","34","1998"
"34",1998,35,0.00200803,"obs","35","1998"
"35",1998,36,0,"obs","36","1998"
"36",1998,37,0.00200803,"obs","37","1998"
"37",1998,38,0.0060241,"obs","38","1998"
"38",1998,39,0.00200803,"obs","39","1998"
"39",1998,40,0.00401606,"obs","40","1998"
"40",1998,41,0,"obs","41","1998"
"41",1998,42,0,"obs","42","1998"
"42",1998,43,0.00200803,"obs","43","1998"
"43",1998,44,0,"obs","44","1998"
"44",1998,45,0,"obs","45","1998"
"45",1999,2,0,"obs","2","1999"
"46",1999,3,0,"obs","3","1999"
"47",1999,4,0,"obs","4","1999"
"48",1999,5,0.00649351,"obs","5","1999"
"49",1999,6,0.00324675,"obs","6","1999"
"50",1999,7,0.00649351,"obs","7","1999"
"51",1999,8,0,"obs","8","1999"
"52",1999,9,0.0422078,"obs","9","1999"
"53",1999,10,0.012987,"obs","10","1999"
"54",1999,11,0.0292208,"obs","11","1999"
"55",1999,12,0.038961,"obs","12","1999"
"56",1999,13,0.0487013,"obs","13","1999"
"57",1999,14,0.0616883,"obs","14","1999"
"58",1999,15,0.126623,"obs","15","1999"
"59",1999,16,0.0649351,"obs","16","1999"
"60",1999,17,0.0584416,"obs","17","1999"
"61",1999,18,0.0422078,"obs","18","1999"
"62",1999,19,0.0194805,"obs","19","1999"
"63",1999,20,0.0227273,"obs","20","1999"
"64",1999,21,0.0324675,"obs","21","1999"
